dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-based zlib compressed size (B),standard zlib compressed size (B),standard zlib compression ratio,decomposed zlib compression ratio,decomposed row-ordered zlib compression ratio,reordered zlib compression ratio,reordered row-based zlib compression ratio,WE,entropy word,entropy list,max rep
hdr_night_f32,496979108,4,124244777,"( (0,), (3,1,2,), )",-1,164152307,133125820,164154160,133128202,169958555,2.92411940075626,3.02754872643977,3.73315340329922,3.02751455095625,3.73308660774972,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040226,)","(124244776,177,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (2,), (0,3,), )",-1,135505248,133126100,135508157,133126243,169958555,2.92411940075626,3.66760044599896,3.73314555147338,3.66752171236452,3.73314154144649,2.77825182362437,9.00313322899195,"(2.280281367782436e-07,7.336024764090699,1.8884911511893265,)","(124244776,59,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (2,0,), )",-1,162063908,133124667,162065580,133127061,169958555,2.92411940075626,3.06656253161561,3.73318573634441,3.06653089446877,3.73311860313659,3.15192853731504,9.00313322899195,"(1.8884912044881519,4.415365870141933,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,3,2,), )",-1,164709631,133128379,164710959,133125846,169958555,2.92411940075626,3.01730448294186,3.73308164444788,3.01728015559669,3.73315267419972,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040225,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (2,), (3,), )",-1,133123927,133123930,133124920,133124924,169958555,2.92411940075626,3.7332064881169,3.73320640398762,3.73317864153458,3.73317852936389,2.3981145648042,9.00313322899195,"(2.3607676485055284e-07,7.336024764090699,2.25643302297257,)","(248489552,59,1105,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (0,2,), )",-1,162063915,133125359,162065571,133124729,169958555,2.92411940075626,3.06656239916208,3.73316633084159,3.06653106476267,3.73318399769287,3.15192853731504,9.00313322899195,"(1.8884912044881519,4.415365870141933,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,), (1,), (3,), )",-1,159682607,133124347,159686062,133124310,169958555,2.92411940075626,3.11229330067238,3.73319471005555,3.11222596246377,3.73319574764369,2.77179124782114,9.00313322899195,"(4.415365870141933,2.280281367782436e-07,2.25643302297257,)","(119,124244776,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (2,), (3,1,), )",-1,135505250,133124269,135508155,133128792,169958555,2.92411940075626,3.66760039186674,3.73319689740418,3.66752176649442,3.73307006346155,2.77825185027378,9.00313322899195,"(2.280281367782436e-07,7.336024764090699,1.8884912044881519,)","(124244776,59,119,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (3,2,), )",-1,156239214,133124747,156239522,133125846,169958555,2.92411940075626,3.18088586902389,3.73318349292337,3.18087959844117,3.73315267419972,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,3,0,), )",-1,172206832,133127822,172206832,133127822,169958555,2.92411940075626,2.88594303854333,3.73309726347059,2.88594303854333,3.73309726347059,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (1,2,3,0,), )",-1,169958577,133128791,169958577,133128791,169958555,2.92411940075626,2.92411902224858,3.7330700915026,2.92411902224858,3.7330700915026,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,), (1,3,), )",-1,162063906,133126498,162065442,133124310,169958555,2.92411940075626,3.06656256945948,3.73313439072062,3.06653350564397,3.73319574764369,3.15192853731504,9.00313322899195,"(4.415365870141933,1.8884912044881519,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,2,1,0,), )",-1,172905654,133125370,172905654,133125370,169958555,2.92411940075626,2.87427910252142,3.73316602237425,2.87427910252142,3.73316602237425,3.56737541629414,9.00313322899195,"(3.5673754162941376,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,0,2,), )",-1,170166759,133124729,170166759,133124729,169958555,2.92411940075626,2.92054165525947,3.73318399769287,2.92054165525947,3.73318399769287,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,), (1,), (0,), )",-1,156231769,133125208,156233248,133126168,169958555,2.92411940075626,3.18103744955995,3.73317056526214,3.1810073359033,3.73314364460637,2.81360683350782,9.00313322899195,"(5.627213438987496,2.280281367782436e-07,2.280281367782436e-07,)","(118,124244776,124244776,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,3,2,), )",-1,172905652,133125846,172905652,133125846,169958555,2.92411940075626,2.87427913576822,3.73315267419972,2.87427913576822,3.73315267419972,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (3,2,0,), )",-1,164709626,133125376,164710957,133129621,169958555,2.92411940075626,3.01730457453652,3.73316585411935,3.01728019223396,3.73304681758239,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321699,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,1,), (3,), )",-1,163744491,133124328,163745885,133124310,169958555,2.92411940075626,3.03508902781957,3.73319524287101,3.03506318952687,3.73319574764369,2.93488488663807,9.00313322899195,"(3.1610355078599093,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,1,2,), )",-1,173181337,133128202,173181337,133128202,169958555,2.92411940075626,2.86970361015287,3.73308660774972,2.86970361015287,3.73308660774972,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,), (1,0,), )",-1,156231747,133125189,156233245,133126168,169958555,2.92411940075626,3.18103789750236,3.7331710980707,3.18100739698519,3.73314364460637,2.81360683753213,9.00313322899195,"(5.627213438987496,2.3607676485055284e-07,)","(118,248489552,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (2,3,), )",-1,156231747,133125189,156232197,133124924,169958555,2.92411940075626,3.18103789750236,3.7331710980707,3.18102873506925,3.73317852936389,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (0,), (2,), )",-1,135505250,133124269,135507278,133124729,169958555,2.92411940075626,3.66760039186674,3.73319689740418,3.66754550261131,3.73318399769287,2.77825185027378,9.00313322899195,"(1.8884912044881519,2.280281367782436e-07,7.336024764090699,)","(119,124244776,59,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,), (2,1,), )",-1,162063906,133126498,162065556,133129621,169958555,2.92411940075626,3.06656256945948,3.73313439072062,3.06653134858588,3.73304681758239,3.1519285089353,9.00313322899195,"(1.8884911511893265,4.415365866681278,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,0,2,1,), )",-1,173181318,133127062,173181318,133127062,169958555,2.92411940075626,2.86970392499265,3.73311857509482,2.86970392499265,3.73311857509482,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,2,3,), )",-1,169958555,133124924,169958555,133124924,169958555,2.92411940075626,2.92411940075626,3.73317852936389,2.92411940075626,3.73317852936389,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,2,), (3,), )",-1,163744497,133124836,163745886,133124924,169958555,2.92411940075626,3.03508891660646,3.73318099712063,3.03506317099167,3.73317852936389,2.93488488663807,9.00313322899195,"(3.161035507859909,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,2,1,), )",-1,172905653,133129621,172905653,133129621,169958555,2.92411940075626,2.87427911914482,3.73304681758239,2.87427911914482,3.73304681758239,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (0,2,1,3,), )",-1,172206823,133126244,172206823,133126244,169958555,2.92411940075626,2.88594318937061,3.73314151340437,2.88594318937061,3.73314151340437,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (2,0,3,), )",-1,164299302,133125730,164301246,133126243,169958555,2.92411940075626,3.02484004466434,3.7331559271074,3.02480425498416,3.73314154144649,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321698,)","(124244776,177,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (2,1,3,), )",-1,164299302,133125730,164301227,133126244,169958555,2.92411940075626,3.02484004466434,3.7331559271074,3.02480460477632,3.73314151340437,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040225,)","(124244776,177,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,), (0,1,), )",-1,156231747,133125189,156233245,133126168,169958555,2.92411940075626,3.18103789750236,3.7331710980707,3.18100739698519,3.73314364460637,2.81360683753213,9.00313322899195,"(5.627213438987496,2.3607676485055284e-07,)","(118,248489552,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,3,1,), )",-1,172206832,133127821,172206832,133127821,169958555,2.92411940075626,2.88594303854333,3.73309729151204,2.88594303854333,3.73309729151204,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
