dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),standard blosc compression ratio,decomposed blosc compression ratio,decomposed row-ordered blosc compression ratio,reordered blosc compression ratio,reordered row-based blosc compression ratio,decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),standard blosc_bit compression ratio,decomposed blosc_bit compression ratio,decomposed row-ordered blosc_bit compression ratio,reordered blosc_bit compression ratio,reordered row-based blosc_bit compression ratio,WE,entropy word,entropy list,max rep
acs_wht_f32,224999996,4,56249999,"( (1,), (3,0,2,), )",-1,158620419,142207803,158619615,142202661,164492669,1.36784208905991,1.41848065601188,1.58219163262089,1.41848784590733,1.5822488441338,177267391,143290151,177266208,143290298,171892948,1.30895419863298,1.26926895426582,1.57024048359053,1.26927742483215,1.57023887269744,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (0,2,1,), (3,), )",-1,148930791,142205147,148931118,142205474,164492669,1.36784208905991,1.51076882415806,1.58222118359752,1.51076550704467,1.58221754529646,148015745,143290583,148016355,143291193,171892948,1.30895419863298,1.52010852629225,1.57023574954678,1.52010226167237,1.57022906495028,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,3,), )",-1,164498727,142208931,164498727,142208931,164492669,1.36784208905991,1.36779171549455,1.58217908269066,1.36779171549455,1.58217908269066,171893178,143290990,171893178,143290990,171892948,1.30895419863298,1.3089524471995,1.57023128949001,1.3089524471995,1.57023128949001,6.44260136953034,20.1330116816552,"(6.442601369530339,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (0,2,3,1,), )",-1,164496960,142205177,164496960,142205177,164492669,1.36784208905991,1.36780640809411,1.58222084980774,1.36780640809411,1.58222084980774,171893191,143291504,171893191,143291504,171892948,1.30895419863298,1.30895234820558,1.5702256569238,1.30895234820558,1.5702256569238,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (1,2,0,3,), )",-1,164495650,142205554,164495650,142205554,164492669,1.36784208905991,1.36781730094382,1.58221665519478,1.36781730094382,1.58221665519478,171893314,143290935,171893314,143290935,171892948,1.30895419863298,1.30895141157148,1.5702318921989,1.30895141157148,1.5702318921989,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,2,3,), )",-1,164492669,142208285,164492669,142208285,164492669,1.36784208905991,1.36784208905991,1.58218626994904,1.36784208905991,1.58218626994904,171892948,143290000,171892948,143290000,171892948,1.30895419863298,1.30895419863298,1.57024213832089,1.30895419863298,1.57024213832089,6.44260136953034,20.1330116816552,"(6.44260136953034,)","(1651008,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (2,3,), )",-1,148768568,142208365,148766164,142208130,164492669,1.36784208905991,1.51241622491117,1.58218537988254,1.51244066493507,1.58218799445573,152605633,143290976,152604793,143290761,171892948,1.30895419863298,1.47438853715184,1.57023144290677,1.47439665279714,1.57023379895372,6.05632765229652,20.1330116816552,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (3,1,0,), (2,), )",-1,157667396,142208604,157661771,142202979,164492669,1.36784208905991,1.42705468415296,1.58218272081484,1.42710559809708,1.58224530584553,178350519,143290380,178350147,143290008,171892948,1.30895419863298,1.26156064620143,1.57023797410545,1.26156327754527,1.57024205065297,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,3,1,), (0,), )",-1,158625284,142208206,158625583,142208505,164492669,1.36784208905991,1.41843715154515,1.58218714889069,1.4184344778736,1.58218382226858,177265009,143290928,177265488,143291407,171892948,1.30895419863298,1.26928601007771,1.57023196890734,1.26928258026176,1.57022671987581,6.31422855038797,20.1330116816552,"(5.948103507556083,7.412603678883616,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,), (3,), )",-1,146061204,142205137,146060562,142208130,164492669,1.36784208905991,1.54045009789184,1.58222129486082,1.54045686884321,1.58218799445573,147060956,143290641,147064263,143290761,171892948,1.30895419863298,1.52997778689811,1.57023511395975,1.52994338264219,1.57023379895372,5.75490405378114,20.1330116816552,"(7.412636992582531,7.193006041938833,1.2209671386643668,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,3,0,), (2,), )",-1,157670316,142208286,157664691,142202661,164492669,1.36784208905991,1.42702825559124,1.5821862588232,1.42707916764953,1.5822488441338,178347441,143290670,178347069,143290298,171892948,1.30895419863298,1.26158241877998,1.57023479616642,1.26158505021465,1.57023887269744,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (2,), (3,), )",-1,142168114,142208359,142167885,142208130,164492669,1.36784208905991,1.58263333225339,1.58218544663749,1.58263588151431,1.58218799445573,143149803,143291457,143149107,143290761,171892948,1.30895419863298,1.57177999050407,1.57022617196223,1.57178763259767,1.57023379895372,5.64734413961345,20.1330116816552,"(7.4126226209859425,6.543164177817545,1.2209671386643668,)","(825504,412752,412752,)"
