Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
hst_wfc3_uvis_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hst_wfc3_uvis_f32,Entropy_Min,2,-1.0,-1.0,-1.0,-1.0,"(1,2,3,4)",bz2,63719070,1.7094530726829504,63719070,1.7094530726829504,55661751,1.9569050208283962
hst_wfc3_uvis_f32,Entropy_Min,3,-1.0,-1.0,-1.0,-1.0,"(1,2,3,4)",bz2,63719070,1.7094530726829504,63719070,1.7094530726829504,55661751,1.9569050208283962
hst_wfc3_uvis_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hst_wfc3_uvis_f32,Frequency,2,0.7442968317379707,0.005024416728963263,17602.766897201323,2.8782979100425132,"(1,2,3)|(4)",bz2,63719070,1.7094530726829504,55609245,1.9587527217821425,55658211,1.9570294848319865
hst_wfc3_uvis_f32,Frequency,3,0.4929232142080173,0.004744186780429483,29301214.4328358,5.627394684875146,"(1,2)|(3)|(4)",bz2,63719070,1.7094530726829504,55641275,1.9576251622558973,55658742,1.9570108142221396
hst_wfc3_uvis_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hst_wfc3_uvis_f32,All_Features,2,0.7463030977042612,0.0032730146998938975,41488.228942748334,3.8861940992322808,"(1,2,3)|(4)",bz2,63719070,1.7094530726829504,55609245,1.9587527217821425,55658211,1.9570294848319865
hst_wfc3_uvis_f32,All_Features,3,0.4972147721468023,0.001863644522130006,445708740.8614673,8.257337581009846,"(1,2)|(3)|(4)",bz2,63719070,1.7094530726829504,55641275,1.9576251622558973,55658742,1.9570108142221396
hst_wfc3_uvis_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,63719070,1.7094530726829504,55659300,1.9569911946431233,55659300,1.9569911946431233
hdr_night_f32,Entropy,2,0.5620505278625185,0.15232036120688552,19.155855841099505,-0.31945646543747774,"(1,2,4)|(3)",bz2,121884051,4.0774745171540125,130380567,3.81175756046528,129176931,3.847274495165085
hdr_night_f32,Entropy,3,0.5,0.0,1.0,inf,"(1,2)|(4)|(3)",bz2,121884051,4.0774745171540125,129177899,3.8472456654524163,129177905,3.8472454867571972
hdr_night_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,121884051,4.0774745171540125,129177919,3.8472450698017515,129177919,3.8472450698017515
hdr_night_f32,Entropy_Mean,2,0.5652047841354311,0.15005862371098416,19.737655476809394,-0.17294592087763763,"(1,2,4)|(3)",bz2,121884051,4.0774745171540125,130380567,3.81175756046528,129176931,3.847274495165085
hdr_night_f32,Entropy_Mean,3,0.5,0.0,1.0,inf,"(1,2)|(4)|(3)",bz2,121884051,4.0774745171540125,129177899,3.8472456654524163,129177905,3.8472454867571972
hdr_night_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,121884051,4.0774745171540125,129177919,3.8472450698017515,129177919,3.8472450698017515
hdr_night_f32,Entropy_Std,2,0.9113255839994283,0.0879879099951464,129.16772074806624,0.14894881798225335,"(1,2)|(3,4)",bz2,121884051,4.0774745171540125,120124625,4.137195949623152,129184022,3.8470633156165395
