Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
solar_wind_f32,Frequency,2,0.3373195567729277,0.2960098603854791,4.675412429198599,-0.6532444084336566,"(1,2,3)|(4)",fastlz,400856912,1.0576854815465924,344945930,1.229121723511856,350574887,1.2093865012070872
solar_wind_f32,Frequency,3,0.31476764184049444,0.1601449224646233,20.828153692796842,-0.8533771844497773,"(1,2)|(3)|(4)",fastlz,400856912,1.0576854815465924,338214208,1.2535858221544613,350569680,1.2094044641852655
solar_wind_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
solar_wind_f32,All_Features,2,0.26666243306067394,0.2844064115383035,4.26329568056142,0.08279874865045483,"(1,2,4)|(3)",fastlz,400856912,1.0576854815465924,375795224,1.1282222575558862,350568199,1.20940957339944
solar_wind_f32,All_Features,3,0.08364262675460023,0.30344314753155266,6.012508297573131,-0.4750073032996769,"(1,2)|(4)|(3)",fastlz,400856912,1.0576854815465924,338214208,1.2535858221544613,350569680,1.2094044641852655
solar_wind_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,400856912,1.0576854815465924,350557305,1.209447157291445,350557305,1.209447157291445
acs_wht_f32,Entropy,2,0.6740516413529783,0.06547539764722744,103.67193201471592,0.3102859948734942,"(1,2,3)|(4)",fastlz,193331844,1.1638020687373156,155425604,1.4476379322933177,155526296,1.4467006916952487
acs_wht_f32,Entropy,3,0.4999808422704213,1.3668641664842915e-05,23993192029.86124,9.084033333463099,"(1,2)|(3)|(4)",fastlz,193331844,1.1638020687373156,155475540,1.4471729765338008,155526040,1.4467030730030803
acs_wht_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
acs_wht_f32,Entropy_Mean,2,0.661993035237614,0.07543472053115244,78.10429384228318,0.4010898119509424,"(1,2,3)|(4)",fastlz,193331844,1.1638020687373156,155425604,1.4476379322933177,155526296,1.4467006916952487
acs_wht_f32,Entropy_Mean,3,0.4999859033255195,1.0152655309966503e-05,33592703595.779778,9.53381934591291,"(1,2)|(3)|(4)",fastlz,193331844,1.1638020687373156,155475540,1.4471729765338008,155526040,1.4467030730030803
acs_wht_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
acs_wht_f32,Entropy_Std,2,0.6467851211369042,0.08779877285352672,57.65547966719297,0.3974356075326926,"(1,2,3)|(4)",fastlz,193331844,1.1638020687373156,155425604,1.4476379322933177,155526296,1.4467006916952487
acs_wht_f32,Entropy_Std,3,0.4999809916708666,1.3846570460772134e-05,13758859943.950663,9.00160817542314,"(1,2)|(3)|(4)",fastlz,193331844,1.1638020687373156,155475540,1.4471729765338008,155526040,1.4467030730030803
acs_wht_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
acs_wht_f32,Entropy_Max,2,0.7382218790019699,0.010403020580398287,4106.684925906898,2.160128318583777,"(1,2,3)|(4)",fastlz,193331844,1.1638020687373156,155425604,1.4476379322933177,155526296,1.4467006916952487
acs_wht_f32,Entropy_Max,3,0.4976520494467599,0.0015834691719350117,62109162.50472362,6.5435585124477935,"(1,2)|(3)|(4)",fastlz,193331844,1.1638020687373156,155475540,1.4471729765338008,155526040,1.4467030730030803
