dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-based bz2 compressed size (B),standard bz2 compressed size (B),standard bz2 compression ratio,decomposed bz2 compression ratio,decomposed row-ordered bz2 compression ratio,reordered bz2 compression ratio,reordered row-based bz2 compression ratio,WE,entropy word,entropy list,max rep
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,4099080,4080041,4104831,4089093,2958398,3.92959297565777,2.83607541204368,2.84930960252605,2.83210197935067,2.84300210340044,3.69321721732118,9.42903568098595,"(2.319201665715632,2.4822241922207766,7.4892188191275215,)","(3002,3,3002,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,3842358,4086192,3837461,4095900,2958398,3.92959297565777,3.02556398961263,2.84502049830258,3.02942492444874,2.83827730169194,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,3056553,4085569,3062251,4083201,2958398,3.92959297565777,3.80340206762323,2.84545432961725,3.79632499099519,2.84710451432589,4.01866194446916,9.42903568098595,"(0.645780129371529,5.1429558828350315,)","(5505,12,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,3046115,4087508,3051386,4095900,2958398,3.92959297565777,3.81643503282049,2.84410452530001,3.80984247813944,2.83827730169194,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(12,5505,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,3122446,4091751,3121480,4089093,2958398,3.92959297565777,3.72313884691681,2.84115529024127,3.72429104142907,2.84300210340044,3.86695971737819,9.42903568098595,"(2.7059092775622076,5.02801015719418,)","(6004,9,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,3207632,4085289,3210776,4088626,2958398,3.92959297565777,3.62426238421365,2.84564935308126,3.62071349729785,2.84332682911081,4.07528335122948,9.42903568098595,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,3008293,4088927,3012234,4091329,2958398,3.92959297565777,3.86441746199589,2.84311752202962,3.85936152370633,2.84144834111361,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(13,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,4099380,4080040,4105391,4088366,2958398,3.92959297565777,2.83586786294513,2.8493103008794,2.83171566362376,2.84350765073381,3.69321721732118,9.42903568098595,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,3827036,4082218,3822937,4089093,2958398,3.92959297565777,3.0376771997964,2.84779009842199,3.04093423459502,2.84300210340044,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,3208221,4086971,3211593,4088414,2958398,3.92959297565777,3.62359700282493,2.84447822115694,3.61979242077063,2.84347426654933,4.07528335122948,9.42903568098595,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,), (3,), )",-1,3937268,4080757,3950572,4095961,2958398,3.92959297565777,2.95263111375705,2.84880966938242,2.94268779305883,2.83823503202301,3.65585216597966,9.42903568098595,"(2.319201665715632,5.829213434415731,0.645780129371529,)","(3002,9,5505,)"
citytemp_f32,11625300,4,2906325,"( (2,), (1,0,3,), )",-1,3207612,4085561,3209748,4091329,2958398,3.92959297565777,3.62428498209883,2.84545990134525,3.62187311901121,2.84144834111361,4.07528335122948,9.42903568098595,"(7.4892188191275215,2.9373048619301323,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,3,0,), )",-1,3818058,4088186,3815847,4089061,2958398,3.92959297565777,3.04482016773973,2.84363284840758,3.04658441494117,2.84302435204562,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,4,)"
citytemp_f32,11625300,4,2906325,"( (2,1,), (3,0,), )",-1,3923127,4085623,3924822,4086824,2958398,3.92959297565777,2.9632739393856,2.84541672102394,2.96199419999174,2.84458053490926,4.15571881331825,9.42903568098595,"(5.829213434415732,2.4822241922207766,)","(9,3,)"
citytemp_f32,11625300,4,2906325,"( (2,3,0,1,), )",-1,2937229,4091261,2937229,4091261,2958398,3.92959297565777,3.95791407479635,2.84149556823679,3.95791407479635,2.84149556823679,4.81012464512111,9.42903568098595,"(4.810124645121105,)","(6,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,3,), )",-1,3842229,4086224,3837735,4095961,2958398,3.92959297565777,3.02566557068826,2.84499821840408,3.02920863478067,2.83823503202301,4.32476808517422,9.42903568098595,"(2.319201665715632,4.99329022499375,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (3,1,2,0,), )",-1,2932171,4083201,2932171,4083201,2958398,3.92959297565777,3.96474148335824,2.84710451432589,3.96474148335824,2.84710451432589,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,3,), (2,0,), )",-1,3922092,4083886,3917346,4083841,2958398,3.92959297565777,2.9640559170973,2.84662696265273,2.96764697323137,2.84665832974398,4.15750997920784,9.42903568098595,"(2.4822241922207766,5.832795766194901,)","(3,9,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,2,), )",-1,2932895,4088414,2932895,4088414,2958398,3.92959297565777,3.96376276682254,2.84347426654933,3.96376276682254,2.84347426654933,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
citytemp_f32,11625300,4,2906325,"( (1,2,), (3,0,), )",-1,3958237,4082962,3958675,4089061,2958398,3.92959297565777,2.93698937178345,2.84727117225191,2.93666441422951,2.84302435204562,4.15571881331825,9.42903568098595,"(5.829213434415731,2.4822241922207766,)","(9,3,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (2,), (3,), )",-1,4078904,4078904,4095961,4095961,2958398,3.92959297565777,2.85010385142676,2.85010385142676,2.83823503202301,2.83823503202301,3.19335056998258,9.42903568098595,"(2.319201665715632,2.319201665715632,7.4892188191275215,0.645780129371529,)","(3002,3002,3002,5505,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,), (2,1,), )",-1,3902158,4083418,3902699,4084651,2958398,3.92959297565777,2.97919766447181,2.84695321419458,2.97878468208796,2.84609382784478,3.65585216597966,9.42903568098595,"(2.319201665715632,0.645780129371529,5.829213434415732,)","(3002,5505,9,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,0,2,), )",-1,3816674,4080818,3814294,4084646,2958398,3.92959297565777,3.04592427857344,2.84876708542258,3.04782483993106,2.84609731173766,4.3265592510638,9.42903568098595,"(2.319201665715632,4.995678446179861,)","(3002,5,)"
citytemp_f32,11625300,4,2906325,"( (0,2,1,), (3,), )",-1,3057269,4085982,3060137,4088366,2958398,3.92959297565777,3.80251132628499,2.84516671879612,3.79894756345876,2.84350765073381,4.01866194446916,9.42903568098595,"(5.1429558828350315,0.645780129371529,)","(12,5505,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,3,), )",-1,2919931,4091329,2919931,4091329,2958398,3.92959297565777,3.9813612033983,2.84144834111361,3.9813612033983,2.84144834111361,4.81012464512111,9.42903568098595,"(4.810124645121107,)","(7,)"
