dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_store_f32,276515948,4,69128987,"( (3,1,), (2,), (0,), )",-1,264446066,239561834,264445435,239561113,248300992,1.1136320711920473,1.0456421310498905,1.154257100903644,1.04564462608326,1.1542605748371189,5.7019589358853455,16.143733431754548,"(5.630165563449759,7.282603977588382,4.264900639053485,)","(9,17,24,)","(1.851611104904517e-06,3.703222209809034e-06,7.23285587853327e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (3,2,0,1,), )",-1,240449802,239560573,240449802,239560573,248300992,1.1136320711920473,1.1499944924055292,1.1542631766872589,1.1499944924055292,1.1542631766872589,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (3,), (2,0,), )",-1,239358808,239561627,239354051,239556631,248300992,1.1136320711920473,1.155236150741526,1.154258098272141,1.1552591102792742,1.1542821705486417,5.644238750141334,16.143733431754548,"(6.496374715923572,3.2679464116927917,6.406316936474484,)","(22,17,11,)","(3.703222209809034e-06,3.47177082169597e-07,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,3,0,2,), )",-1,250510406,239555748,250510406,239555748,248300992,1.1136320711920473,1.10381022655003,1.154286425220738,1.10381022655003,1.154286425220738,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,), (3,2,), )",-1,269174680,239561949,269174775,239554819,248300992,1.1136320711920473,1.027273248732013,1.1542565468107793,1.0272728861759055,1.1542909015743907,5.702298481966407,16.143733431754548,"(4.264900639053485,6.496374715923572,6.023959286444287,)","(24,22,9,)","(7.23285587853327e-07,3.703222209809034e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,3,2,0,), )",-1,253281991,239556631,253281991,239556631,248300992,1.1136320711920473,1.0917315791314985,1.1542821705486417,1.0917315791314985,1.1542821705486417,6.345535458137,16.143733431754548,"(6.345535458137,)","(19,)","(9.258055524522585e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,), (0,3,1,), )",-1,245732168,239555858,245731881,239560047,248300992,1.1136320711920473,1.1252737085687536,1.1542858951919264,1.1252750228205024,1.1542657110933026,6.09007972234423,16.143733431754548,"(7.282603977588382,5.692571637262845,)","(17,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (3,1,2,), )",-1,257259012,239561815,257258920,239555839,248300992,1.1136320711920473,1.0748542717718281,1.154257192449473,1.0748546561573065,1.1542859867423227,5.905925047296245,16.143733431754548,"(4.264900639053485,6.452933183377166,)","(24,14,)","(7.23285587853327e-07,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (2,), (0,3,), )",-1,258928411,239555643,258928455,239557972,248300992,1.1136320711920473,1.06792432291256,1.1542869311577852,1.0679241414389933,1.1542757090964186,5.726665077378435,16.143733431754548,"(6.496374715923572,7.282603977588382,4.563840808000893,)","(22,17,9,)","(3.703222209809034e-06,3.703222209809034e-06,4.990670556187956e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (3,1,), (2,0,), )",-1,264242943,239561530,264242839,239561113,248300992,1.1136320711920473,1.046445913978486,1.1542585656386481,1.0464463258359105,1.1542605748371189,6.018241249962122,16.143733431754548,"(5.630165563449759,6.406316936474484,)","(9,11,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,3,2,), )",-1,259231168,239557333,259230306,239554819,248300992,1.1136320711920473,1.066677090310375,1.1542787880344285,1.0666806372554296,1.1542909015743907,5.905925047296245,16.143733431754548,"(4.264900639053485,6.452933183377166,)","(24,14,)","(7.23285587853327e-07,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,), (2,), (3,), )",-1,229414672,239561915,229411168,239558331,248300992,1.1136320711920473,1.2053106524939259,1.1542567106294839,1.205329062271284,1.154273979309031,5.568059370793801,16.143733431754548,"(5.860843546947015,7.282603977588382,3.2679464116927917,)","(44,17,17,)","(1.851611104904517e-06,3.703222209809034e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (3,1,), (0,2,), )",-1,264175215,239561845,264175280,239560342,248300992,1.1136320711920473,1.0467141968636233,1.154257047903434,1.0467139393208933,1.1542642897045121,6.018241249962122,16.143733431754548,"(5.630165563449759,6.406316936474484,)","(9,11,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (2,0,), (1,), (3,), )",-1,239358808,239561627,239356792,239559550,248300992,1.1136320711920473,1.155236150741526,1.154258098272141,1.155245880802079,1.1542681057799615,5.644238750141333,16.143733431754548,"(6.406316936474484,6.496374715923572,3.2679464116927917,)","(11,22,17,)","(1.851611104904517e-06,3.703222209809034e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (2,), (3,1,), )",-1,264446066,239561834,264445865,239560704,248300992,1.1136320711920473,1.0456421310498905,1.154257100903644,1.0456429258215099,1.1542625454966102,5.7019589358853455,16.143733431754548,"(4.264900639053485,7.282603977588382,5.630165563449759,)","(24,17,9,)","(7.23285587853327e-07,3.703222209809034e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,), (3,2,), )",-1,259027421,239561933,259027489,239554819,248300992,1.1136320711920473,1.0675161221637612,1.1542566239019285,1.0675158419190018,1.1542909015743907,5.942401416695651,16.143733431754548,"(5.860843546947015,6.023959286444287,)","(44,9,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,3,0,), )",-1,242343048,239553935,242343048,239553935,248300992,1.1136320711920473,1.1410104407038737,1.1542951611293715,1.1410104407038737,1.1542951611293715,6.345535458137001,16.143733431754548,"(6.345535458137001,)","(19,)","(9.258055524522585e-07,)"
