dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep
hdr_night_f32,496979108,4,124244777,"( (0,), (1,), (3,2,), )",-1,154806425,136298196,154803938,136289145,174896113,2.84156748526481,3.21032610888082,3.64626328583248,3.21037768431963,3.64650543519075,2.81360683350782,9.00313322899195,"(2.280281367782436e-07,2.280281367782436e-07,5.627213438987496,)","(124244776,124244776,118,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,2,0,), )",-1,179652628,136293548,179652628,136293548,174896113,2.84156748526481,2.76633363804731,3.64638763384456,2.76633363804731,3.64638763384456,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (2,), (0,3,1,), )",-1,148655035,136296165,148650170,136297867,174896113,2.84156748526481,3.343170367556,3.64631762016195,3.34327978232383,3.64627208729539,2.94310167330848,9.00313322899195,"(7.336024764090699,1.4787939763810787,)","(59,179,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (3,1,2,), )",-1,167000703,136298595,167004151,136286620,174896113,2.84156748526481,2.97591027506034,3.6462526117749,2.97584883384126,3.64657299447297,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040226,)","(124244776,177,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (2,), (0,3,), )",-1,142399579,136296141,142398941,136296105,174896113,2.84156748526481,3.49003214398548,3.64631826223165,3.49004778062219,3.64631922533663,2.77825182362437,9.00313322899195,"(2.280281367782436e-07,7.336024764090699,1.8884911511893265,)","(124244776,59,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (2,0,), )",-1,163564981,136302029,163563090,136298589,174896113,2.84156748526481,3.03841999040125,3.64616074790787,3.03845511845001,3.64625277228659,3.15192853731504,9.00313322899195,"(1.8884912044881519,4.415365870141933,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,3,2,), )",-1,168555972,136293554,168554685,136289145,174896113,2.84156748526481,2.94845149716796,3.64638747332101,2.94847401008165,3.64650543519075,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040225,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (2,), (3,), )",-1,136301970,136301982,136295685,136295692,174896113,2.84156748526481,3.64616232619382,3.6461620051864,3.64633046159899,3.64633027432738,2.3981145648042,9.00313322899195,"(2.3607676485055284e-07,7.336024764090699,2.25643302297257,)","(248489552,59,1105,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (0,2,), )",-1,163565869,136297459,163564052,136292467,174896113,2.84156748526481,3.03840349480245,3.64628300223851,3.03843724781286,3.64641655506903,3.15192853731504,9.00313322899195,"(1.8884912044881519,4.415365870141933,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,), (1,), (3,), )",-1,157465402,136301991,157464087,136300668,174896113,2.84156748526481,3.15611621148371,3.64616176443087,3.15614256855914,3.64619715583492,2.77179124782114,9.00313322899195,"(4.415365870141933,2.280281367782436e-07,2.25643302297257,)","(119,124244776,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (2,), (3,1,), )",-1,142401576,136302035,142396449,136294666,174896113,2.84156748526481,3.48998320074772,3.64616058740429,3.49010885798142,3.64635772319953,2.77825185027378,9.00313322899195,"(2.280281367782436e-07,7.336024764090699,1.8884912044881519,)","(124244776,59,119,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (3,2,), )",-1,154806398,136298181,154803926,136289145,174896113,2.84156748526481,3.21032666879828,3.64626368711406,3.21037793317981,3.64650543519075,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,3,0,), )",-1,178611507,136297869,178611507,136297869,174896113,2.84156748526481,2.78245851203752,3.64627203379093,2.78245851203752,3.64627203379093,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (1,2,3,0,), )",-1,174910529,136294666,174910529,136294666,174896113,2.84156748526481,2.8413332853164,3.64635772319953,2.8413332853164,3.64635772319953,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,), (1,3,), )",-1,163562984,136296137,163565053,136300668,174896113,2.84156748526481,3.03845708757673,3.64631836924329,3.03841865291359,3.64619715583492,3.15192853731504,9.00313322899195,"(4.415365870141933,1.8884912044881519,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,2,1,0,), )",-1,179647863,136298178,179647863,136298178,174896113,2.84156748526481,2.76640701258996,3.64626376737039,2.76640701258996,3.64626376737039,3.56737541629414,9.00313322899195,"(3.5673754162941376,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,0,2,), )",-1,176582303,136292467,176582303,136292467,174896113,2.84156748526481,2.81443326741525,3.64641655506903,2.81443326741525,3.64641655506903,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,), (1,), (0,), )",-1,154278194,136303437,154278173,136303344,174896113,2.84156748526481,3.22131790057122,3.64612308345533,3.22131833904981,3.64612557121122,2.81360683350782,9.00313322899195,"(5.627213438987496,2.280281367782436e-07,2.280281367782436e-07,)","(118,124244776,124244776,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,3,2,), )",-1,179668986,136289143,179668986,136289143,174896113,2.84156748526481,2.76608177662894,3.64650548870206,2.76608177662894,3.64650548870206,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (3,2,0,), )",-1,168558841,136298192,168556872,136293548,174896113,2.84156748526481,2.94840131227528,3.6462633928409,2.94843575407593,3.64638763384456,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321699,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (2,0,1,), (3,), )",-1,166015255,136301977,166015209,136300668,174896113,2.84156748526481,2.99357494586868,3.64616213893948,2.99357577533755,3.64619715583492,2.93488488663807,9.00313322899195,"(3.1610355078599093,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,1,2,), )",-1,179929447,136286620,179929447,136286620,174896113,2.84156748526481,2.76207767147753,3.64657299447297,2.76207767147753,3.64657299447297,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,), (1,0,), )",-1,154278167,136303422,154278160,136303344,174896113,2.84156748526481,3.22131846432943,3.64612348470605,3.221318610489,3.64612557121122,2.81360683753213,9.00313322899195,"(5.627213438987496,2.3607676485055284e-07,)","(118,248489552,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (2,3,), )",-1,154278167,136303422,154274386,136295692,174896113,2.84156748526481,3.22131846432943,3.64612348470605,3.22139741330748,3.64633027432738,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,), (0,), (2,), )",-1,142401576,136302035,142392023,136292467,174896113,2.84156748526481,3.48998320074772,3.64616058740429,3.49021734173971,3.64641655506903,2.77825185027378,9.00313322899195,"(1.8884912044881519,2.280281367782436e-07,7.336024764090699,)","(119,124244776,59,)"
