dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (0,1,2,3,), )",-1,71511324,56471432,71511324,56471432,71511324,1.31841670278682,1.31841670278682,1.6695472500148394,1.31841670278682,1.6695472500148394,6.318406388450609,18.49633411327401,"(6.318406388450609,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (2,3,), )",-1,66966378,56464665,66973342,56471031,71511324,1.31841670278682,1.407896422291198,1.6697473366750692,1.4077500268688996,1.6695591054464722,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,0,), (2,), )",-1,70771484,56469332,70772822,56470667,71511324,1.31841670278682,1.3321993361054856,1.6696093376843912,1.3321741501278557,1.6695698671311958,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,3,1,), (0,), )",-1,71571767,56465761,71571890,56465892,71511324,1.31841670278682,1.3173032880409394,1.669714926891714,1.3173010241870098,1.6697110531787933,6.252722334798021,18.49633411327401,"(6.086462590645219,6.751501567256424,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,), (3,), )",-1,57112720,56467991,57108707,56471031,71511324,1.31841670278682,1.6508008023431557,1.6696489875122351,1.6509168032818533,1.6695591054464722,5.834902594068856,18.49633411327401,"(6.751662226465114,6.740404297445846,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,0,), (2,), )",-1,70778631,56464763,70779958,56466098,71511324,1.31841670278682,1.3320648148732914,1.6697444386687676,1.332039840995667,1.6697049617276547,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (2,), (3,), )",-1,56312419,56468800,56314646,56471031,71511324,1.31841670278682,1.6742616579834726,1.6696250672937976,1.674195448196549,1.6695591054464722,5.831700407806107,18.49633411327401,"(6.751592197585234,6.7164776811353395,3.107139554918616,)","(3391330,1695665,11508,)","(5.430532857036004e-06,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,0,1,3,), )",-1,71528353,56469002,71528353,56469002,71511324,1.31841670278682,1.318102822806503,1.6696190947380298,1.318102822806503,1.6696190947380298,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,), (2,), (0,), )",-1,70699712,56469185,70703013,56472490,71511324,1.31841670278682,1.3335517406350963,1.6696136839941997,1.3334894794370362,1.669515971404838,6.142296787822806,18.49633411327401,"(5.550603951449731,6.7164776811353395,6.751501567256424,)","(23017,1695665,1695665,)","(5.430532857036004e-06,1.0861065714072008e-05,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (3,2,0,1,), )",-1,71623094,56468524,71623094,56468524,71511324,1.31841670278682,1.3163592737281078,1.6696332278846175,1.3163592737281078,1.6696332278846175,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (3,), (2,0,), )",-1,57141129,56468787,57136469,56467921,71511324,1.31841670278682,1.6499800695222526,1.669625451667662,1.6501146404409415,1.6696510572790524,5.834902594068855,18.49633411327401,"(6.751662226465114,3.107139554918616,6.740404297445846,)","(1695665,11508,3391330,)","(1.0861065714072008e-05,2.757692466463596e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,0,2,), )",-1,71612606,56466098,71612606,56466098,71511324,1.31841670278682,1.3165520606804897,1.6697049617276547,1.3165520606804897,1.6697049617276547,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,), (3,2,), )",-1,67199909,56467975,67202073,56464075,71511324,1.31841670278682,1.403003745139,1.6696494606013408,1.4029585664716027,1.6697647840684542,6.143251255519657,18.49633411327401,"(6.751501567256424,6.751662226465114,5.534920614178546,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
